iter	Passed	Remaining
0	157	157487
1	159	79569
2	160	53404
3	162	40462
4	164	32669
5	165	27450
6	166	23672
7	168	20842
8	169	18649
9	170	16886
10	171	15446
11	172	14241
12	174	13222
13	175	12370
14	177	11623
15	178	10974
16	179	10392
17	181	9877
18	182	9421
19	184	9017
20	185	8650
21	186	8303
22	188	7989
23	189	7704
24	191	7458
25	192	7212
26	193	6985
27	195	6777
28	196	6580
29	197	6397
30	199	6226
31	200	6061
32	201	5910
33	202	5764
34	204	5626
35	205	5516
36	207	5394
37	208	5277
38	209	5169
39	210	5063
40	212	4963
41	213	4873
42	215	4785
43	216	4698
44	217	4614
45	218	4540
46	220	4475
47	222	4408
48	223	4338
49	224	4273
50	226	4215
51	228	4164
52	229	4104
53	230	4044
54	232	3992
55	234	3954
56	236	3905
57	237	3856
58	238	3806
59	240	3773
60	242	3735
61	243	3689
62	245	3645
63	246	3603
64	247	3563
65	249	3535
66	251	3498
67	252	3461
68	253	3424
69	255	3392
70	256	3362
71	258	3331
72	259	3299
73	261	3268
74	262	3239
75	265	3223
76	266	3194
77	267	3165
78	269	3139
79	270	3111
80	272	3086
81	273	3060
82	274	3027
83	275	3000
84	276	2974
85	278	2955
86	279	2935
87	281	2913
88	282	2889
89	283	2869
90	285	2846
91	286	2824
92	287	2802
93	288	2780
94	289	2759
95	290	2738
96	292	2721
97	293	2705
98	295	2686
99	296	2667
100	297	2647
101	298	2628
102	299	2610
103	300	2592
104	301	2574
105	303	2556
106	304	2539
107	305	2522
108	306	2505
109	307	2489
110	308	2474
111	310	2458
112	311	2442
113	312	2427
114	313	2411
115	314	2399
116	316	2385
117	317	2371
118	318	2358
119	319	2344
120	320	2331
121	322	2317
122	323	2310
123	325	2298
124	326	2285
125	327	2273
126	328	2259
127	329	2247
128	331	2235
129	332	2223
130	333	2211
131	334	2201
132	335	2189
133	337	2178
134	339	2173
135	340	2162
136	341	2151
137	342	2140
138	343	2130
139	345	2120
140	346	2110
141	347	2098
142	348	2089
143	349	2079
144	350	2069
145	352	2060
146	353	2052
147	354	2042
148	356	2034
149	357	2025
150	358	2015
151	359	2007
152	360	1997
153	362	1989
154	363	1980
155	364	1973
156	365	1964
157	367	1956
158	368	1950
159	370	1943
160	371	1933
161	372	1925
162	373	1918
163	374	1910
164	377	1911
165	378	1903
166	380	1895
167	381	1889
168	383	1887
169	385	1882
170	386	1875
171	388	1870
172	390	1864
173	391	1857
174	392	1850
175	393	1844
176	395	1837
177	396	1829
178	397	1823
179	398	1817
180	400	1813
181	401	1806
182	402	1799
183	404	1792
184	405	1786
185	406	1779
186	407	1773
187	409	1767
188	410	1761
189	411	1755
190	413	1750
191	414	1744
192	415	1738
193	417	1733
194	418	1728
195	419	1721
196	420	1716
197	422	1710
198	423	1704
199	424	1698
200	425	1692
201	426	1685
202	428	1680
203	429	1675
204	430	1669
205	431	1663
206	432	1658
207	434	1652
208	435	1646
209	436	1641
210	437	1635
211	438	1629
212	439	1624
213	440	1618
214	441	1612
215	442	1607
216	444	1602
217	445	1596
218	446	1591
219	447	1586
220	448	1581
221	449	1576
222	450	1571
223	452	1565
224	453	1560
225	454	1555
226	455	1550
227	456	1545
228	458	1542
229	459	1537
230	460	1533
231	461	1528
232	463	1526
233	464	1521
234	465	1516
235	466	1511
236	468	1507
237	469	1502
238	470	1499
239	473	1499
240	475	1497
241	476	1492
242	477	1488
243	479	1484
244	480	1480
245	481	1477
246	483	1473
247	484	1468
248	485	1464
249	486	1460
250	488	1456
251	489	1454
252	491	1450
253	492	1446
254	493	1442
255	494	1438
256	496	1434
257	497	1430
258	498	1426
259	499	1423
260	501	1419
261	502	1416
262	504	1414
263	506	1410
264	507	1407
265	508	1403
266	509	1399
267	510	1395
268	512	1392
269	513	1389
270	514	1385
271	516	1381
272	517	1379
273	519	1375
274	520	1372
275	521	1368
276	522	1365
277	524	1361
278	525	1357
279	526	1353
280	527	1350
281	528	1346
282	529	1342
283	530	1338
284	532	1335
285	533	1332
286	535	1329
287	536	1325
